User-ID,ISBN,Book-Rating
U0000,BK00003,8
U0000,BK00009,9
U0000,BK00002,9
U0000,BK00005,10
U0000,BK00000,10
U0000,BK00004,8
U0000,BK00006,10
U0000,BK00007,9
U0000,BK00001,10
U0000,BK00008,10
U0001,BK00051,9
U0001,BK00049,8
U0001,BK00050,8
U0001,BK00054,10
U0001,BK00052,8
U0001,BK00053,9
U0001,BK00009,5
U0001,BK00013,7
U0002,BK00003,10
U0002,BK00053,9
U0002,BK00006,10
U0002,BK00001,9
U0002,BK00008,9
U0002,BK00004,9
U0002,BK00009,9
U0002,BK00005,9
U0002,BK00054,9
U0002,BK00050,8
U0002,BK00000,10
U0002,BK00052,9
U0002,BK00051,10
U0002,BK00007,9
U0002,BK00049,9
U0002,BK00002,10
U0003,BK00055,10
U0003,BK00038,10
U0003,BK00039,10
U0003,BK00057,9
U0003,BK00040,9
U0003,BK00041,9
U0003,BK00056,9
U0003,BK00058,10
U0003,BK00042,10
U0003,BK00065,5
U0003,BK00050,7
U0003,BK00020,6
U0003,BK00013,7
U0004,BK00032,10
U0004,BK00031,10
U0004,BK00046,10
U0004,BK00043,10
U0004,BK00035,9
U0004,BK00047,10
U0004,BK00037,8
U0004,BK00030,8
U0004,BK00052,7
U0004,BK00004,5
U0004,BK00024,5
U0005,BK00039,9
U0005,BK00041,10
U0005,BK00038,10
U0005,BK00042,9
U0005,BK00040,9
U0005,BK00063,5
U0005,BK00006,4
U0005,BK00060,7
U0005,BK00047,7
U0006,BK00066,8
U0006,BK00059,10
U0006,BK00065,9
U0006,BK00061,9
U0006,BK00063,10
U0006,BK00064,10
U0006,BK00062,9
U0006,BK00060,9
U0006,BK00005,7
U0006,BK00048,7
U0006,BK00031,6
U0006,BK00052,4
U0007,BK00042,9
U0007,BK00045,8
U0007,BK00029,8
U0007,BK00031,9
U0007,BK00041,8
U0007,BK00044,10
U0007,BK00033,9
U0007,BK00028,9
U0007,BK00036,10
U0007,BK00040,9
U0007,BK00032,10
U0007,BK00039,9
U0007,BK00037,10
U0007,BK00034,10
U0007,BK00030,10
U0008,BK00050,8
U0008,BK00049,8
U0008,BK00053,8
U0008,BK00051,10
U0008,BK00054,9
U0008,BK00052,8
U0008,BK00026,4
U0008,BK00029,4
U0008,BK00061,4
U0009,BK00022,9
U0009,BK00021,9
U0009,BK00052,10
U0009,BK00050,10
U0009,BK00044,10
U0009,BK00045,9
U0009,BK00026,10
U0009,BK00049,8
U0009,BK00024,9
U0010,BK00007,8
U0010,BK00004,10
U0010,BK00006,10
U0010,BK00008,10
U0010,BK00045,10
U0010,BK00001,9
U0010,BK00009,8
U0010,BK00002,10
U0010,BK00005,8
U0010,BK00000,9
U0010,BK00044,8
U0010,BK00003,10
U0011,BK00029,10
U0011,BK00031,9
U0011,BK00028,9
U0011,BK00032,10
U0011,BK00035,9
U0011,BK00036,8
U0011,BK00030,8
U0011,BK00037,10
U0011,BK00033,10
U0011,BK00034,10
U0011,BK00016,3
U0012,BK00057,9
U0012,BK00055,9
U0012,BK00056,10
